"TIME","GEO","NACE_R2","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"2012","Greece","Total - all NACE activities","Employed persons","Total","Thousand","3,695.0",""
"2012","Spain","Total - all NACE activities","Employed persons","Total","Thousand","17,632.7",""
"2012","France","Total - all NACE activities","Employed persons","Total","Thousand","25,804.5",""
"2012","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,566.1",""
"2012","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,566.0",""
"2012","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","385.2",""
"2012","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","875.6",""
"2012","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,275.7",""
"2012","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","236.1",""
"2012","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","3,827.2",""
"2012","Malta","Total - all NACE activities","Employed persons","Total","Thousand","170.3",""
"2012","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,345.1",""
"2012","Austria","Total - all NACE activities","Employed persons","Total","Thousand","4,084.5",""
"2012","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,590.7",""
"2012","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,546.9",""
"2012","Romania","Total - all NACE activities","Employed persons","Total","Thousand","8,605.1",""
"2012","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","923.8",""
"2012","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,329.0",""
"2012","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,483.2",""
"2012","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,657.1",""
"2012","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","29,595.7",""
"2012","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","167.9",""
"2012","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,585.4",""
"2012","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,408.1",""
"2012","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","650.5",""
"2012","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","24,819.3",""
"2013","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,530.3",""
"2013","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","2,934.9",""
"2013","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,937.1",""
"2013","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,687.6",""
"2013","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","39,531.4",""
"2013","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","621.3",""
"2013","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,881.2",""
"2013","Greece","Total - all NACE activities","Employed persons","Total","Thousand","3,513.2",""
"2013","Spain","Total - all NACE activities","Employed persons","Total","Thousand","17,139.0",""
"2013","France","Total - all NACE activities","Employed persons","Total","Thousand","25,778.8",""
"2013","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,524.0",""
"2013","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,190.5",""
"2013","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","365.1",""
"2013","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","893.9",""
"2013","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,292.8",""
"2013","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","238.7",""
"2013","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","3,892.8",""
"2013","Malta","Total - all NACE activities","Employed persons","Total","Thousand","175.9",""
"2013","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,285.2",""
"2013","Austria","Total - all NACE activities","Employed persons","Total","Thousand","4,104.7",""
"2013","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,568.0",""
"2013","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,429.4",""
"2013","Romania","Total - all NACE activities","Employed persons","Total","Thousand","8,549.1",""
"2013","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","905.9",""
"2013","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,329.2",""
"2013","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,456.7",""
"2013","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,704.5",""
"2013","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","29,953.7",""
